title,score,evaluate,quote,link_url
末代皇帝,9.3,927379人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
龙猫,9.2,1307988人评价,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
怦然心动,9.1,1895704人评价,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
活着,9.3,883340人评价,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/
哈利·波特与魔法石,9.2,1250522人评价,童话世界的开端。,https://movie.douban.com/subject/1295038/
蝙蝠侠：黑暗骑士,9.2,1101577人评价,无尽的黑暗。,https://movie.douban.com/subject/1851857/
指环王3：王者无敌,9.3,834985人评价,史诗的终章。,https://movie.douban.com/subject/1291552/
我不是药神,9.0,2178999人评价,对我们国家而言，这样的电影多一部是一部。,https://movie.douban.com/subject/26752088/
乱世佳人,9.3,717956人评价,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
飞屋环游记,9.1,1376529人评价,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/
素媛,9.3,713746人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
十二怒汉,9.4,515583人评价,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/
哈尔的移动城堡,9.1,1070130人评价,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
让子弹飞,9.0,1763805人评价,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
何以为家,9.1,1081813人评价,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/
摔跤吧！爸爸,9.0,1620221人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/
猫鼠游戏,9.1,1078998人评价,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
天空之城,9.2,914574人评价,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/
海蒂和爷爷,9.3,661486人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
鬼子来了,9.3,651844人评价,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
少年派的奇幻漂流,9.1,1391361人评价,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
钢琴家,9.3,672618人评价,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
大话西游之月光宝盒,9.0,1261805人评价,旷古烁今。,https://movie.douban.com/subject/1299398/
指环王2：双塔奇兵,9.2,783839人评价,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
闻香识女人,9.1,926221人评价,史上最美的探戈。,https://movie.douban.com/subject/1298624/
title,score,evaluate,quote,link_url
死亡诗社,9.2,765398人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
绿皮书,8.9,1719042人评价,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/
大闹天宫,9.4,458693人评价,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
罗马假日,9.1,978959人评价,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
天堂电影院,9.2,697356人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
黑客帝国,9.1,868195人评价,视觉革命。,https://movie.douban.com/subject/1291843/
指环王1：护戒使者,9.1,880125人评价,传说的开始。,https://movie.douban.com/subject/1291571/
教父2,9.3,576909人评价,优雅的孤独。,https://movie.douban.com/subject/1299131/
狮子王,9.1,879112人评价,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
辩护人,9.2,610710人评价,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
饮食男女,9.2,648168人评价,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
搏击俱乐部,9.0,879385人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
本杰明·巴顿奇事,9.0,1019844人评价,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
美丽心灵,9.1,795422人评价,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
穿条纹睡衣的男孩,9.2,589606人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
窃听风暴,9.2,584789人评价,别样人生。,https://movie.douban.com/subject/1900841/
情书,8.9,1165490人评价,暗恋的极致。,https://movie.douban.com/subject/1292220/
两杆大烟枪,9.1,617548人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
西西里的美丽传说,8.9,1010884人评价,美丽无罪。,https://movie.douban.com/subject/1292402/
音乐之声,9.1,626426人评价,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
看不见的客人,8.8,1323111人评价,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
哈利·波特与死亡圣器(下),9.0,869005人评价,10年的完美句点。,https://movie.douban.com/subject/3011235/
阿凡达,8.8,1468905人评价,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
拯救大兵瑞恩,9.1,670311人评价,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
飞越疯人院,9.1,564594人评价,自由万岁。,https://movie.douban.com/subject/1292224/
title,score,evaluate,quote,link_url
小鞋子,9.2,426045人评价,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
功夫,8.8,1192807人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
沉默的羔羊,8.9,926944人评价,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
布达佩斯大饭店,8.9,983926人评价,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
禁闭岛,8.9,1018164人评价,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
蝴蝶效应,8.9,974427人评价,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
哈利·波特与阿兹卡班的囚徒,9.0,771788人评价,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/
致命魔术,8.9,892186人评价,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
心灵捕手,8.9,745526人评价,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
超脱,9.0,638449人评价,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
低俗小说,8.9,868041人评价,故事的高级讲法。,https://movie.douban.com/subject/1291832/
摩登时代,9.3,314803人评价,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
海豚湾,9.3,365026人评价,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
春光乍泄,9.0,656091人评价,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
喜剧之王,8.8,1005358人评价,我是一个演员。,https://movie.douban.com/subject/1302425/
美国往事,9.2,427544人评价,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
致命ID,8.9,861052人评价,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
杀人回忆,8.9,750850人评价,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
哈利·波特与密室,8.9,798990人评价,魔法的密室之门已打开...,https://movie.douban.com/subject/1296996/
红辣椒,9.1,493298人评价,梦的勾结。,https://movie.douban.com/subject/1865703/
加勒比海盗,8.8,892293人评价,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
七宗罪,8.8,973034人评价,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
一一,9.1,420464人评价,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
狩猎,9.1,412492人评价,人言可畏。,https://movie.douban.com/subject/6985810/
唐伯虎点秋香,8.7,1122709人评价,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
title,score,evaluate,quote,link_url
7号房的礼物,8.9,577205人评价,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
被嫌弃的松子的一生,8.9,725420人评价,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
蝙蝠侠：黑暗骑士崛起,8.9,750674人评价,诺兰就是保证。,https://movie.douban.com/subject/3395373/
爱在黎明破晓前,8.8,715561人评价,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
请以你的名字呼唤我,8.8,752489人评价,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
甜蜜蜜,8.9,590356人评价,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
断背山,8.8,728150人评价,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
剪刀手爱德华,8.7,1063133人评价,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
入殓师,8.9,692128人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
第六感,8.9,578284人评价,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
重庆森林,8.8,844449人评价,寂寞没有期限。,https://movie.douban.com/subject/1291999/
超能陆战队,8.7,1055398人评价,Balalala~~~,https://movie.douban.com/subject/11026735/
勇敢的心,8.9,572117人评价,史诗大片的典范。,https://movie.douban.com/subject/1294639/
爱在日落黄昏时,8.9,587637人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
幽灵公主,8.9,543125人评价,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
寄生虫,8.8,1424556人评价,,https://movie.douban.com/subject/27010768/
菊次郎的夏天,8.9,617975人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
借东西的小人阿莉埃蒂,8.9,575366人评价,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
消失的爱人,8.7,993097人评价,年度最佳date movie。,https://movie.douban.com/subject/21318488/
无人知晓,9.1,336069人评价,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
